Domain,YearsOfExperience,Year,Salary
fullstack,12,2023,161459
education,10,2023,118246
fullstack,0,2023,143707
education,20,2023,128893
design,7,2023,114049
design,9,2023,110362
healthcare,17,2023,171827
education,3,2023,93572
business,18,2023,167951
healthcare,11,2023,126362
ml,15,2023,243259
backend,0,2023,118852
devops,0,2023,167659
backend,14,2023,176638
backend,5,2023,177025
fullstack,3,2023,156870
devops,10,2023,179348
data,2,2023,156837
data,11,2023,216177
business,3,2023,110980
healthcare,7,2023,116937
fullstack,19,2023,206559
ml,19,2023,243868
data,20,2023,234887
education,12,2023,127612
devops,9,2023,179606
fullstack,3,2023,134353
healthcare,9,2023,145927
design,13,2023,118295
devops,11,2023,174672
education,9,2023,96044
devops,12,2023,178557
healthcare,8,2023,140400
education,5,2023,89005
backend,6,2023,154708
education,12,2023,115468
design,11,2023,135709
education,10,2023,122399
ml,16,2023,231263
data,18,2023,209752
data,17,2023,215307
business,8,2023,130718
data,0,2023,162741
fullstack,8,2023,171783
devops,4,2023,165820
business,8,2023,132031
healthcare,6,2023,118859
business,1,2023,119830
ml,19,2023,261966
design,17,2023,120826
frontend,10,2023,141843
education,5,2023,101830
design,14,2023,149593
business,12,2023,149174
business,11,2023,125809
healthcare,9,2023,135921
data,17,2023,178231
frontend,1,2023,109876
design,2,2023,116680
data,19,2023,176871
ml,13,2023,202371
devops,10,2023,210940
education,8,2023,94105
data,4,2023,154266
education,3,2023,97622
backend,19,2023,185860
healthcare,6,2023,147916
business,8,2023,157038
backend,20,2023,218194
education,17,2023,109162
design,12,2023,142747
data,6,2023,198659
data,15,2023,194420
frontend,2,2023,123675
devops,6,2023,167058
fullstack,16,2023,191784
business,4,2023,113112
design,19,2023,139272
backend,15,2023,205212
healthcare,15,2023,139489
data,10,2023,161886
business,5,2023,142152
design,10,2023,131667
fullstack,19,2023,192639
devops,9,2023,203492
education,12,2023,102211
education,0,2023,96234
data,15,2023,219842
business,14,2023,154516
design,2,2023,108481
ml,14,2023,254289
devops,1,2023,160561
ml,18,2023,213998
frontend,2,2023,138785
devops,16,2023,244174
business,13,2023,140006
frontend,20,2023,149941
backend,3,2023,139603
healthcare,0,2023,119217
fullstack,20,2023,168656
ml,10,2023,211429
fullstack,16,2023,200174
healthcare,2,2023,120881
data,17,2023,210309
devops,6,2023,162748
ml,12,2023,248250
data,3,2023,147345
healthcare,19,2023,167786
frontend,11,2023,137554
frontend,6,2023,139661
ml,19,2023,272913
data,20,2023,186248
business,4,2023,116958
design,17,2023,150423
design,20,2023,152084
devops,12,2023,223351
ml,15,2023,201646
frontend,12,2023,135030
business,6,2023,122274
devops,11,2023,223146
design,10,2023,110918
frontend,10,2023,132820
frontend,12,2023,177392
data,9,2023,186878
devops,14,2023,181613
design,2,2023,97610
design,18,2023,122084
ml,5,2023,192939
frontend,17,2023,154470
education,19,2023,131734
design,1,2023,92784
ml,11,2023,231307
business,11,2023,162642
backend,8,2023,154406
frontend,11,2023,162422
frontend,2,2023,111288
frontend,12,2023,145814
backend,7,2023,190590
healthcare,12,2023,161209
frontend,10,2023,131447
design,6,2023,136482
fullstack,13,2023,183631
healthcare,2,2023,108538
design,11,2023,133686
data,2,2023,142408
ml,12,2023,222203
frontend,17,2023,170324
backend,18,2023,216307
ml,5,2023,181329
ml,12,2023,244138
design,0,2023,109719
devops,6,2023,182555
backend,19,2023,167112
devops,14,2023,183622
business,16,2023,168003
education,3,2023,111216
devops,4,2023,191735
frontend,2,2023,123052
education,2,2023,96268
backend,1,2023,129130
healthcare,8,2023,117812
business,13,2023,158153
healthcare,5,2023,134480
frontend,11,2023,157591
fullstack,3,2023,133248
devops,6,2023,187551
business,10,2023,134999
healthcare,20,2023,166761
design,11,2023,149368
fullstack,9,2023,150959
education,18,2023,141349
design,10,2023,125825
data,13,2023,210424
education,10,2023,116949
business,7,2023,141601
design,9,2023,130883
design,18,2023,140631
ml,4,2023,218980
data,6,2023,173827
devops,11,2023,225987
frontend,15,2023,145323
education,1,2023,88331
data,12,2023,167878
ml,3,2023,166778
design,10,2023,138090
frontend,1,2023,136058
frontend,0,2023,119553
education,19,2023,129550
healthcare,1,2023,112264
healthcare,18,2023,158809
frontend,12,2023,155871
healthcare,0,2023,113982
education,17,2023,132670
healthcare,14,2023,164520
data,19,2023,230411
healthcare,12,2023,127637
design,1,2023,90320
education,17,2023,121510
frontend,12,2023,155625
design,1,2023,115303
fullstack,13,2023,185506
devops,17,2023,222094
business,10,2023,162508
fullstack,3,2023,151168
devops,8,2023,201769
business,4,2023,132317
healthcare,9,2023,145220
backend,10,2023,157517
backend,13,2023,180477
business,13,2023,135014
ml,17,2023,212208
devops,14,2023,212259
design,4,2023,115659
devops,2,2023,158842
fullstack,14,2023,202496
healthcare,10,2023,150421
fullstack,3,2023,157109
healthcare,0,2023,98018
healthcare,19,2023,133101
backend,8,2023,186054
design,10,2023,145300
devops,3,2023,181601
frontend,20,2023,153100
ml,19,2023,258792
education,14,2023,127084
business,4,2023,129041
ml,14,2023,222505
education,20,2023,111621
design,13,2023,123703
backend,18,2023,194689
business,19,2023,138024
devops,7,2023,164258
frontend,13,2023,156244
backend,13,2023,201773
devops,16,2023,191871
education,19,2023,121733
design,0,2023,106622
data,4,2023,152416
ml,10,2023,240086
fullstack,10,2023,160852
fullstack,20,2023,201702
devops,0,2023,129402
data,4,2023,191028
fullstack,19,2023,187124
backend,10,2023,152167
data,8,2023,190685
data,0,2023,134303
education,16,2023,123485
backend,7,2023,184777
backend,18,2023,216542
healthcare,10,2023,140877
design,6,2023,123931
business,10,2023,162816
data,8,2023,160112
backend,1,2023,156093
healthcare,11,2023,143757
frontend,15,2023,187846
education,1,2023,93866
design,15,2023,144522
ml,1,2023,197602
backend,7,2023,155797
data,19,2023,183637
healthcare,12,2023,122323
business,8,2023,126160
backend,6,2023,170987
frontend,3,2023,115850
ml,13,2023,255248
healthcare,4,2023,130140
ml,2,2023,184368
ml,19,2023,235225
ml,18,2023,262176
frontend,16,2023,164007
healthcare,15,2023,143398
frontend,7,2023,149395
healthcare,5,2023,133506
business,13,2023,133177
education,14,2023,134833
data,12,2023,175539
design,15,2023,139961
design,20,2023,156078
backend,4,2023,173359
healthcare,3,2023,125854
data,6,2023,193166
education,4,2023,89300
backend,0,2023,124803
design,14,2023,138007
education,0,2023,83625
data,3,2023,138970
devops,17,2023,246229
healthcare,9,2023,129097
devops,11,2023,173919
healthcare,8,2023,116630
fullstack,8,2023,183745
design,9,2023,117620
backend,18,2023,174595
devops,4,2023,155308
backend,10,2023,182610
data,8,2023,173843
design,19,2023,139303
design,12,2023,129293
design,14,2023,142091
healthcare,18,2023,131106
fullstack,16,2023,200596
frontend,0,2023,119503
fullstack,10,2023,153641
healthcare,3,2023,127345
healthcare,16,2023,133963
ml,7,2023,183008
design,5,2023,114951
fullstack,4,2023,146962
backend,11,2023,169115
fullstack,17,2023,156891
frontend,2,2023,137163
education,12,2023,120402
devops,19,2023,194527
design,5,2023,118300
backend,20,2023,214963
education,12,2023,132966
data,0,2023,156422
design,15,2023,142124
fullstack,11,2023,155505
education,3,2023,89336
backend,15,2023,206811
devops,9,2023,182743
fullstack,12,2023,192978
design,8,2023,108955
ml,10,2023,195731
fullstack,20,2023,164220
data,19,2023,233763
data,2,2023,139003
backend,2,2023,130485
design,8,2023,116519
backend,13,2023,204219
fullstack,12,2023,186413
devops,12,2023,204683
fullstack,5,2023,171187
business,20,2023,165228
data,19,2023,232715
education,0,2023,92815
healthcare,16,2023,144569
devops,3,2023,189617
design,0,2023,112514
design,6,2023,104265
ml,5,2023,190358
business,18,2023,151861
devops,16,2023,225485
frontend,14,2023,161294
healthcare,9,2023,135239
business,19,2023,151201
fullstack,6,2023,166907
education,9,2023,95624
backend,15,2023,187647
data,2,2023,164700
backend,12,2023,158441
frontend,16,2023,156256
healthcare,12,2023,154182
business,17,2023,164401
ml,16,2023,226239
frontend,11,2023,147094
fullstack,17,2023,157945
education,4,2023,86705
data,14,2023,176801
education,9,2023,99276
design,12,2023,137958
frontend,20,2023,163418
frontend,20,2023,171695
ml,2,2023,194047
fullstack,7,2023,167445
backend,15,2023,210715
fullstack,8,2023,147913
design,6,2023,118568
education,8,2023,116745
devops,17,2023,191191
business,12,2023,155505
data,10,2023,161091
data,14,2023,215026
design,14,2023,145026
frontend,1,2023,135805
ml,7,2023,219326
ml,11,2023,250864
healthcare,7,2023,140143
devops,16,2023,211060
backend,9,2023,183295
healthcare,2,2023,117824
design,15,2023,147887
fullstack,10,2023,168090
healthcare,6,2023,125593
devops,5,2023,157160
devops,5,2023,165861
education,0,2023,79002
ml,4,2023,169433
backend,17,2023,167588
backend,6,2023,146017
frontend,18,2023,144599
backend,13,2023,162386
business,0,2023,119293
business,11,2023,132323
healthcare,19,2023,133722
education,15,2023,129627
fullstack,18,2023,158977
frontend,0,2023,133539
business,2,2023,125372
backend,15,2023,176951
education,1,2023,83800
ml,11,2023,207178
backend,10,2023,160532
backend,1,2023,135916
education,5,2023,99178
devops,5,2023,164701
business,9,2023,131558
frontend,1,2023,109706
business,13,2023,136786
ml,17,2023,272627
backend,6,2023,153984
healthcare,1,2023,110739
education,7,2023,120737
ml,20,2023,254820
ml,13,2023,239180
backend,18,2023,165652
ml,19,2023,267522
frontend,17,2023,149999
design,7,2023,109542
ml,15,2023,223557
fullstack,16,2023,157034
ml,10,2023,207057
data,8,2023,204015
healthcare,18,2023,134019
design,2,2023,96612
business,3,2023,133290
frontend,8,2023,146177
devops,15,2023,186720
fullstack,19,2023,194623
design,2,2023,95001
backend,1,2023,158553
design,20,2023,135377
education,7,2023,96779
backend,15,2023,175155
ml,19,2023,221398
devops,7,2023,215199
ml,7,2023,214271
ml,4,2023,201031
ml,5,2023,228972
healthcare,12,2023,150429
ml,1,2023,151277
backend,10,2023,160654
fullstack,13,2023,162048
frontend,14,2023,180088
fullstack,20,2023,184122
ml,7,2023,240614
backend,16,2023,191554
devops,4,2023,198939
ml,2,2023,193005
design,1,2023,110584
healthcare,6,2023,129031
backend,19,2023,195324
backend,10,2023,197473
devops,1,2023,172471
fullstack,19,2023,197224
design,11,2023,135713
backend,11,2023,204117
data,11,2023,196038
frontend,13,2023,174528
ml,1,2023,161585
devops,16,2023,226843
data,7,2023,197155
ml,13,2023,213791
education,15,2023,126449
ml,9,2023,208079
healthcare,14,2023,168248
frontend,17,2023,141955
design,6,2023,116576
ml,2,2023,185497
backend,12,2023,195328
design,10,2023,124544
ml,9,2023,225948
fullstack,9,2023,147510
fullstack,12,2023,159425
business,4,2023,133110
business,20,2023,178748
frontend,17,2023,174490
devops,17,2023,246816
devops,13,2023,211711
ml,19,2023,267832
ml,18,2023,227207
business,17,2023,169252
ml,8,2023,226233
devops,17,2023,226762
fullstack,3,2023,127405
education,4,2023,107747
fullstack,15,2023,158687
devops,14,2023,213901
backend,18,2023,196659
data,16,2023,187206
backend,20,2023,184174
business,14,2023,155290
backend,8,2023,185133
frontend,4,2023,138826
design,6,2023,132165
education,5,2023,110366
ml,12,2023,219896
business,19,2023,151949
ml,19,2023,238961
education,14,2023,110233
fullstack,13,2023,170870
devops,1,2023,171805
backend,16,2023,216239
healthcare,18,2023,129972
fullstack,17,2023,171627
data,16,2023,176660
devops,19,2023,206996
frontend,0,2023,124482
devops,10,2023,178129
design,13,2023,145651
fullstack,16,2023,177920
backend,0,2023,121808
devops,7,2023,190975
business,1,2023,104934
backend,2,2023,142158
data,3,2023,179413
healthcare,11,2023,121730
ml,2,2023,168280
frontend,3,2023,115143
data,12,2023,212931
healthcare,14,2023,149335
ml,11,2023,203312
frontend,8,2023,157330
frontend,8,2023,163836
design,6,2023,104374
devops,20,2023,251370
ml,16,2023,240524
data,19,2023,197607
fullstack,3,2023,135921
frontend,19,2023,184033
healthcare,15,2023,158946
education,13,2023,134629
healthcare,19,2023,171228
fullstack,8,2023,165692
devops,12,2023,174583
education,12,2023,99985
devops,6,2023,182091
business,8,2023,139871
business,13,2023,135962
fullstack,4,2023,130947
fullstack,11,2023,177833
frontend,14,2023,180730
devops,7,2023,180986
education,7,2023,97401
education,16,2023,126460
education,0,2023,95227
devops,20,2023,201679
design,18,2023,141466
education,6,2023,102919
devops,0,2023,153333
business,16,2023,170573
design,8,2023,111801
fullstack,20,2023,191875
backend,12,2023,193714
design,12,2023,143111
healthcare,20,2023,132894
data,18,2023,234107
ml,3,2023,188124
ml,5,2023,195102
data,1,2023,143900
ml,11,2023,206191
frontend,9,2023,171379
data,8,2023,171489
frontend,10,2023,134371
education,4,2023,89732
backend,9,2023,175171
frontend,0,2023,124044
backend,10,2023,201568
ml,15,2023,240218
devops,3,2023,180625
business,6,2023,115225
devops,3,2023,154165
ml,10,2023,216685
data,12,2023,190185
backend,18,2023,182927
backend,10,2023,168331
backend,4,2023,155571
fullstack,18,2023,182057
fullstack,9,2023,178869
healthcare,3,2023,108772
ml,10,2023,194436
business,2,2023,118764
education,14,2023,123393
healthcare,10,2023,140584
backend,15,2023,206490
frontend,16,2023,160746
healthcare,14,2023,152349
devops,6,2023,198789
healthcare,10,2023,150526
fullstack,4,2023,173037
backend,12,2023,155672
frontend,8,2023,162566
ml,20,2023,265403
healthcare,10,2023,132034
ml,17,2023,234587
frontend,18,2023,163714
frontend,8,2023,166936
healthcare,9,2023,149770
backend,14,2023,187505
frontend,20,2023,188326
devops,18,2023,231808
fullstack,6,2023,178780
data,5,2023,170168
backend,2,2023,125984
design,4,2023,100905
ml,6,2023,211749
data,19,2023,202730
healthcare,2,2023,100846
healthcare,7,2023,116206
data,10,2023,184904
design,0,2023,96667
ml,15,2023,235312
healthcare,8,2023,152258
fullstack,8,2023,179822
data,12,2023,179825
education,14,2023,134766
design,13,2023,151063
ml,20,2023,280714
ml,14,2023,201701
ml,6,2023,223293
ml,18,2023,262072
design,3,2023,113932
data,13,2023,193091
devops,5,2023,198593
devops,19,2023,221235
design,2,2023,91963
business,6,2023,140655
fullstack,7,2023,172551
backend,3,2023,153310
ml,0,2023,153059
data,2,2023,134655
ml,5,2023,205108
frontend,7,2023,140624
devops,18,2023,228911
business,0,2023,101011
fullstack,17,2023,195283
data,20,2023,227726
frontend,15,2023,167896
ml,19,2023,237347
backend,10,2023,180352
healthcare,15,2023,144049
backend,3,2023,144156
design,1,2023,92439
data,8,2023,187844
ml,8,2023,229161
healthcare,6,2023,133080
education,19,2023,115752
ml,16,2023,240048
business,18,2023,160845
healthcare,2,2023,99759
devops,7,2023,215218
data,11,2023,198632
backend,20,2023,205898
healthcare,9,2023,130766
education,7,2023,92556
design,1,2023,103963
healthcare,12,2023,153232
frontend,4,2023,136718
fullstack,2,2023,129539
data,5,2023,151511
healthcare,13,2023,129328
fullstack,4,2023,161519
business,9,2023,145288
business,0,2023,92963
ml,4,2023,178027
healthcare,19,2023,173268
healthcare,15,2023,134389
fullstack,18,2023,177974
backend,14,2023,192508
fullstack,4,2023,163810
ml,2,2023,199312
design,1,2023,102335
data,16,2023,185061
backend,11,2023,167692
education,14,2023,118845
data,19,2023,192416
healthcare,15,2023,163123
devops,11,2023,198972
devops,18,2023,240404
devops,15,2023,206641
ml,18,2023,241904
education,0,2023,81471
data,13,2023,213325
frontend,0,2023,103006
fullstack,2,2023,160956
backend,20,2023,180244
devops,10,2023,202062
healthcare,8,2023,117763
ml,8,2023,223186
fullstack,14,2023,189064
ml,11,2023,229495
ml,7,2023,186447
fullstack,3,2023,148760
devops,14,2023,237582
devops,7,2023,212701
devops,17,2023,216007
fullstack,15,2023,175546
healthcare,9,2023,116723
business,2,2023,114322
fullstack,10,2023,178722
healthcare,12,2023,123229
frontend,7,2023,147153
frontend,20,2023,190009
design,15,2023,119222
devops,10,2023,175200
education,20,2023,109374
design,7,2023,135458
fullstack,15,2023,205415
ml,20,2023,233684
frontend,15,2023,174974
data,2,2023,148867
design,0,2023,113457
education,18,2023,120827
design,8,2023,141437
healthcare,12,2023,161293
education,10,2023,106450
healthcare,6,2023,110059
data,17,2023,198981
healthcare,19,2023,156618
ml,11,2023,254060
design,0,2023,111552
data,15,2023,226141
devops,11,2023,190938
education,9,2023,125489
design,18,2023,156946
data,11,2023,168312
frontend,12,2023,158609
ml,17,2023,226522
frontend,18,2023,185888
design,16,2023,151584
data,1,2023,155430
data,10,2023,180926
data,19,2023,180928
devops,3,2023,193893
fullstack,12,2023,167495
devops,14,2023,205983
education,14,2023,128154
healthcare,10,2023,146093
backend,2,2023,142352
healthcare,0,2023,108375
education,3,2023,97983
data,0,2023,129378
data,1,2023,129947
backend,15,2023,162676
devops,1,2023,141731
frontend,10,2023,130380
healthcare,0,2023,116205
healthcare,0,2023,102169
backend,12,2023,156094
fullstack,18,2023,176024
design,16,2023,133084
ml,7,2023,186411
devops,3,2023,162798
frontend,2,2023,138633
devops,14,2023,230487
devops,0,2023,168967
design,20,2023,124858
backend,12,2023,177932
education,16,2023,137769
ml,5,2023,177247
data,15,2023,218666
data,3,2023,157218
devops,16,2023,212098
fullstack,18,2023,207937
ml,18,2023,252136
healthcare,18,2023,163824
frontend,2,2023,143115
data,13,2023,198174
devops,7,2023,173540
healthcare,8,2023,146146
fullstack,17,2023,183845
design,17,2023,157230
ml,14,2023,263491
design,12,2023,120283
frontend,15,2023,144022
education,20,2023,113303
healthcare,9,2023,119282
data,19,2023,196599
backend,19,2023,218261
business,11,2023,165365
data,11,2023,181237
data,19,2023,236004
fullstack,17,2023,168707
data,11,2023,200676
education,10,2023,111336
devops,12,2023,176718
frontend,15,2023,159300
ml,15,2023,269616
data,8,2023,160056
fullstack,13,2023,177574
frontend,8,2023,151321
business,11,2023,149551
frontend,10,2023,167521
fullstack,10,2023,170831
backend,17,2023,202505
fullstack,6,2023,181494
devops,20,2023,226762
fullstack,11,2023,164356
ml,8,2023,218594
healthcare,12,2023,148051
healthcare,20,2023,154215
healthcare,9,2023,153324
backend,18,2023,206574
frontend,2,2023,120006
backend,19,2023,175563
frontend,8,2023,136198
healthcare,10,2023,158523
data,12,2023,183944
data,14,2023,182127
healthcare,16,2023,161488
frontend,12,2023,145893
business,1,2023,101439
frontend,13,2023,169780
frontend,13,2023,145506
business,2,2023,125234
frontend,5,2023,128285
fullstack,14,2023,160912
business,20,2023,160440
devops,8,2023,174102
design,13,2023,125349
ml,13,2023,207326
fullstack,11,2023,191802
devops,14,2023,199103
healthcare,8,2023,115846
frontend,20,2023,185337
healthcare,3,2023,107020
business,18,2023,167495
ml,1,2023,178409
fullstack,15,2023,177282
frontend,20,2023,187518
education,5,2023,107450
backend,19,2023,215663
business,6,2023,115155
business,6,2023,149981
education,12,2023,109944
healthcare,1,2023,109400
backend,5,2023,171905
ml,13,2023,223968
backend,6,2023,160747
business,10,2023,144120
frontend,13,2023,146455
education,0,2023,73784
education,5,2023,105392
healthcare,7,2023,124964
healthcare,15,2023,147022
business,19,2023,175090
frontend,3,2023,123376
education,14,2023,126431
design,7,2023,111515
frontend,8,2023,125820
data,3,2023,173991
data,17,2023,201096
data,0,2023,131894
data,20,2023,192100
business,6,2023,130706
data,20,2023,185914
design,5,2023,128419
education,9,2023,101919
business,19,2023,179914
education,13,2023,113603
data,1,2023,157731
education,18,2023,107928
ml,20,2023,248446
fullstack,18,2023,203515
data,8,2023,187495
devops,10,2023,210478
ml,6,2023,187211
business,5,2023,142233
ml,18,2023,262676
ml,2,2023,195294
design,8,2023,133834
fullstack,6,2023,179526
healthcare,2,2023,111274
data,14,2023,215424
design,20,2023,125897
education,15,2023,138767
data,4,2023,186948
healthcare,5,2023,143413
devops,3,2023,168165
healthcare,20,2023,155681
ml,8,2023,194554
business,7,2023,141597
education,14,2023,118261
healthcare,6,2023,142600
fullstack,14,2023,171564
devops,5,2023,170917
data,8,2023,184408
education,13,2023,110241
data,17,2023,177628
healthcare,13,2023,164760
backend,2,2023,150339
data,1,2023,157581
ml,19,2023,276953
data,10,2023,213290
education,2,2023,88871
education,17,2023,136010
healthcare,12,2023,124140
education,7,2023,98137
data,13,2023,204250
fullstack,15,2023,169039
design,11,2023,133958
business,17,2023,154527
devops,15,2023,193677
ml,9,2023,219437
business,5,2023,124454
fullstack,15,2023,177051
design,10,2023,144830
frontend,19,2023,159409
backend,13,2023,161147
business,20,2023,159886
devops,19,2023,192426
fullstack,15,2023,207479
devops,10,2023,210543
ml,7,2023,231113
data,5,2023,175591
business,13,2023,130643
data,7,2023,152292
frontend,10,2023,158527
education,15,2023,113829
data,1,2023,135912
fullstack,14,2023,162466
fullstack,5,2023,164348
fullstack,3,2023,131647
fullstack,1,2023,136383
design,0,2023,97094
education,6,2023,117898
education,19,2023,119613
backend,3,2023,156574
education,5,2023,92365
data,16,2023,171832
devops,5,2023,200308
education,3,2023,84974
design,14,2023,126804
ml,19,2023,234149
data,20,2023,216730
backend,2,2023,149061
design,12,2023,123479
ml,4,2023,188840
devops,14,2023,185081
backend,18,2023,188643
devops,18,2023,237982
frontend,17,2023,157159
fullstack,18,2023,187582
fullstack,15,2023,208572
data,15,2023,178429
frontend,19,2023,146962
data,7,2023,154390
education,9,2023,104418
backend,19,2023,165582
design,1,2023,91228
business,15,2023,130100
business,5,2023,142100
devops,17,2023,211129
fullstack,4,2023,135981
design,1,2023,111627
backend,7,2023,168882
design,7,2023,119352
business,2,2023,132660
design,14,2023,116443
design,2,2023,112347
frontend,18,2023,154510
ml,4,2023,216706
healthcare,1,2023,95307
education,10,2023,99135
design,1,2023,117910
design,15,2023,126348
fullstack,13,2023,192300
education,17,2023,134227
frontend,18,2023,183611
fullstack,17,2023,175189
fullstack,1,2023,126097
backend,15,2023,191258
frontend,4,2023,122828
education,2,2023,105168
frontend,6,2023,145820
devops,1,2023,136941
design,10,2023,123148
design,17,2023,158590
healthcare,14,2023,135825
education,20,2023,128177
healthcare,5,2023,125032
data,4,2023,146110
business,14,2023,172071
healthcare,1,2023,105722
education,13,2023,131643
devops,18,2023,192141
backend,6,2023,169031
business,13,2023,140872
education,10,2023,114335
healthcare,14,2023,133783
design,16,2023,156930
ml,0,2023,184780
business,10,2023,159759
frontend,20,2023,176674
education,14,2023,117037
education,20,2023,141359
healthcare,14,2023,155080
data,3,2023,164118
data,4,2023,189810
backend,7,2023,176956
data,5,2023,177766
backend,14,2023,161643
frontend,6,2023,135261
education,16,2023,104468
frontend,0,2023,105541
ml,5,2023,175590
healthcare,15,2023,163927
healthcare,20,2023,133397
healthcare,10,2023,135354
design,3,2023,124006
design,0,2023,104467
design,13,2023,132484
backend,10,2023,167971
ml,0,2023,189334
design,3,2023,100673
fullstack,3,2023,146957
education,14,2023,120295
backend,10,2023,179733
data,2,2023,139292
data,11,2023,175163
ml,9,2023,222369
education,12,2023,112252
frontend,10,2023,173194
fullstack,15,2023,161866
education,18,2023,123234
business,10,2023,141523
education,2,2023,95024
fullstack,5,2023,139440
devops,1,2023,138770
data,3,2023,155801
education,14,2023,130268
backend,16,2023,192514
data,19,2023,195373
design,10,2023,114402
healthcare,1,2023,126264
devops,11,2023,185049
backend,18,2023,169328
backend,1,2023,152314
frontend,2,2023,140363
healthcare,15,2023,148035
frontend,10,2023,144909
backend,12,2023,184793
design,12,2023,117635
devops,19,2023,238206
ml,9,2023,248013
education,1,2023,101548
healthcare,5,2023,121710
design,18,2023,161630
education,15,2023,105841
backend,0,2023,121396
frontend,1,2023,111844
backend,17,2023,199510
healthcare,7,2023,141596
devops,18,2023,230595
ml,17,2023,266504
ml,1,2023,161417
design,20,2023,124647
devops,6,2023,160037
ml,16,2023,222842
education,3,2023,85340
design,14,2023,126376
backend,8,2023,164456
data,16,2023,210234
education,20,2023,139538
design,9,2023,131847
business,0,2023,96029
ml,3,2023,180883
design,11,2023,119626
frontend,9,2023,164282
frontend,12,2023,171770
data,1,2023,148372
education,14,2023,104960
ml,4,2023,197877
backend,4,2023,178217
frontend,0,2023,99436
business,4,2023,143274
frontend,20,2023,191053
backend,18,2023,166808
business,17,2023,147522
fullstack,7,2023,155056
ml,5,2023,210175
frontend,3,2023,122667
fullstack,6,2023,136919
frontend,13,2023,181739
design,20,2023,151667
healthcare,8,2023,150764
healthcare,6,2023,122363
backend,0,2023,116278
frontend,13,2023,179765
education,16,2023,107874
business,20,2023,169472
frontend,17,2023,175612
data,14,2023,193904
fullstack,17,2023,181849
devops,3,2023,168530
design,17,2023,146219
design,19,2023,158016
backend,18,2023,166770
education,3,2023,95647
ml,13,2023,240598
ml,2,2023,207886
fullstack,11,2023,161413
fullstack,8,2023,166553
business,19,2023,160083
frontend,13,2023,171161
design,14,2023,141865
healthcare,7,2023,135831
fullstack,16,2023,194579
design,14,2023,126170
ml,19,2023,272977
backend,20,2023,211095
design,1,2023,87567
frontend,9,2023,152655
business,5,2023,114973
devops,19,2023,201584
devops,19,2023,245293
healthcare,5,2023,120642
healthcare,8,2023,124327
backend,16,2023,198696
education,14,2023,119118
backend,20,2023,223542
business,1,2023,105882
devops,19,2023,250686
education,17,2023,108800
data,19,2023,228559
healthcare,4,2023,139658
ml,8,2023,237178
devops,4,2023,167062
education,7,2023,102892
ml,6,2023,205354
data,4,2023,158332
frontend,6,2023,155849
healthcare,1,2023,124538
business,8,2023,135410
ml,7,2023,182607
frontend,8,2023,149920
data,4,2023,153440
healthcare,3,2023,106741
backend,12,2023,205520
business,0,2023,121319
devops,10,2023,168857
business,11,2023,163483
education,14,2023,114533
data,5,2023,177702
backend,1,2023,140772
ml,13,2023,241774
frontend,9,2023,138174
backend,16,2023,189510
business,13,2023,143048
devops,8,2023,189586
frontend,15,2023,152348
business,13,2023,147900
education,14,2023,111001
data,0,2023,142998
ml,8,2023,217630
healthcare,8,2023,131282
data,4,2023,145263
healthcare,1,2023,104119
data,7,2023,186238
ml,0,2023,192551
frontend,12,2023,165164
data,12,2023,200838
frontend,19,2023,148812
healthcare,12,2023,133148
education,20,2023,124533
design,13,2023,148319
frontend,20,2023,165516
ml,4,2023,185451
education,15,2023,118705
ml,14,2023,247275
data,6,2023,193541
backend,16,2023,185105
backend,18,2023,201569
education,1,2023,79041
backend,1,2023,151925
backend,3,2023,150316
education,6,2023,91152
devops,5,2023,192784
devops,9,2023,218115
data,5,2023,153252
fullstack,1,2023,154257
healthcare,12,2023,151513
backend,13,2023,188111
design,16,2023,145913
education,18,2023,117493
ml,19,2023,230337
design,10,2023,120567
frontend,17,2023,144376
backend,9,2023,190672
education,18,2023,127157
design,20,2023,137433
ml,15,2023,224610
data,15,2023,185898
design,9,2023,134973
business,3,2023,114191
frontend,3,2023,112211
ml,13,2023,233492
fullstack,17,2023,166736
fullstack,12,2023,178103
frontend,2,2023,107310
fullstack,6,2023,152149
healthcare,5,2023,131284
ml,17,2023,242724
devops,9,2023,186498
backend,14,2023,183233
business,17,2023,145151
design,10,2023,116476
devops,2,2023,179373
data,14,2023,193429
education,12,2023,115805
data,17,2023,180396
devops,6,2023,188196
business,13,2023,148373
design,9,2023,109385
devops,12,2023,180665
data,8,2023,203884
healthcare,11,2023,154780
fullstack,0,2023,147361
data,6,2023,192905
design,5,2023,124372
devops,16,2023,192760
devops,18,2023,241455
ml,4,2023,212767
education,1,2023,96981
ml,0,2023,178222
devops,13,2023,193290
data,1,2023,157891
ml,2,2023,194476
devops,1,2023,162903
frontend,16,2023,162296
healthcare,20,2023,138239
fullstack,4,2023,130576
backend,18,2023,220290
data,9,2023,179680
fullstack,16,2023,155840
fullstack,1,2023,140263
data,18,2023,212055
devops,17,2023,238672
design,8,2023,119114
frontend,8,2023,161477
fullstack,0,2023,142146
healthcare,8,2023,140294
backend,17,2023,174819
ml,18,2023,255082
business,8,2023,118854
fullstack,7,2023,161226
healthcare,9,2023,151310
frontend,0,2023,121520
fullstack,16,2023,167387
backend,14,2023,197061
design,9,2023,139516
devops,13,2023,220264
education,8,2023,117966
design,6,2023,125611
education,10,2023,115580
